ID,Country,Medal Count,Games,Host
500,Italy,2,2008 Summer,No
501,France,11,2008 Summer,No
502,Greece,1,2008 Summer,No
503,UK,6,2008 Summer,No
504,Germany,3,2008 Summer,No
505,Belgium,0,2008 Summer,No
506,Netherlands,7,2008 Summer,No
507,Spain,0,2008 Summer,No
508,Sweden,0,2008 Summer,No
509,Finland,0,2008 Summer,No
510,USA,68,2008 Summer,No
511,Canada,1,2008 Summer,No
512,Mexico,0,2008 Summer,No
513,Brazil,0,2008 Summer,No
514,Australia,32,2012 Summer,No
515,Japan,17,2012 Summer,No
516,China,15,2012 Summer,No
517,South Korea,2,2012 Summer,No
518,Russia,9,2012 Summer,No
519,Italy,1,2012 Summer,No
520,France,21,2012 Summer,No
521,Greece,0,2012 Summer,No
522,UK,3,2012 Summer,Yes
523,Germany,1,2012 Summer,No
524,Belgium,0,2012 Summer,No
525,Netherlands,8,2012 Summer,No
526,Spain,0,2012 Summer,No
527,Sweden,0,2012 Summer,No
528,Finland,0,2012 Summer,No
529,USA,68,2012 Summer,No
530,Canada,3,2012 Summer,No
531,Mexico,0,2012 Summer,No
532,Brazil,0,2012 Summer,No
533,Australia,32,2016 Summer,No
534,Japan,10,2016 Summer,No
535,China,6,2016 Summer,No
536,South Korea,0,2016 Summer,No
537,Russia,4,2016 Summer,No
538,Italy,4,2016 Summer,No
539,France,8,2016 Summer,No
540,Greece,0,2016 Summer,No
541,UK,13,2016 Summer,No
542,Germany,0,2016 Summer,No
543,Belgium,1,2016 Summer,No
544,Netherlands,2,2016 Summer,No
545,Spain,0,2016 Summer,No
546,Sweden,3,2016 Summer,No
547,Finland,0,2016 Summer,No
548,USA,71,2016 Summer,No
549,Canada,15,2016 Summer,No
550,Mexico,0,2016 Summer,No
551,Brazil,1,2016 Summer,Yes
